method,n_clusters,silhouette,davies_bouldin,ari
PCA(rawFused)_KMeans,6,0.17071972787380219,1.5786018223258012,
PCA(rawFused)_Agglomerative,6,0.13806210458278656,1.5985369691788847,
RawAudioMean+Lyrics_KMeans,6,0.08259827643632889,2.578924875448826,
RawAudioMean+Lyrics_Agglomerative,6,0.0633230209350586,2.7579783261040984,
ConvVAE+Lyrics_KMeans,6,0.0291717741638422,4.18743302768656,
ConvVAE+Lyrics_Agglomerative,6,0.009243139997124672,4.478889163043362,
ConvVAE+Lyrics_DBSCAN,0,,,
RawAudioMean+Lyrics_DBSCAN,0,,,
PCA(rawFused)_DBSCAN,0,,,
